ID,Asunto,Estado,Fecha
5,ruidos raros en el motor,1,Mon Aug 19 2024 06:00:00 GMT-0300 (hora estándar de Argentina)
6,motor con roturas,2,Mon Aug 19 2024 07:00:00 GMT-0300 (hora estándar de Argentina)
7,no frena,1,Thu Aug 15 2024 07:15:00 GMT-0300 (hora estándar de Argentina)
8,ruidos extraños,1,Thu Aug 15 2024 08:00:00 GMT-0300 (hora estándar de Argentina)
9,cristales rayados,1,Thu Aug 15 2024 09:30:00 GMT-0300 (hora estándar de Argentina)
10,matafuego vencido,1,Thu Aug 15 2024 09:00:00 GMT-0300 (hora estándar de Argentina)
11,suspensión lado izq fallada,1,Thu Aug 15 2024 15:00:00 GMT-0300 (hora estándar de Argentina)
14,nuevo reclamo,1,Mon Nov 18 2024 05:33:26 GMT-0300 (hora estándar de Argentina)
15,Fallas tren delantero,2,Wed Aug 28 2024 19:26:12 GMT-0300 (hora estándar de Argentina)
17,Error en factura,1,Mon Nov 18 2024 22:18:15 GMT-0300 (hora estándar de Argentina)
18,Pieza en mal estado,1,Mon Nov 18 2024 23:34:00 GMT-0300 (hora estándar de Argentina)
